,name,formula,Tc,Pc,dh_form,dh_comb,dg_form,ds_form
199,"1,1-Dichloropropane",C3H6Cl2,560.0,4240000.0,-150800.0,-1720000.0,-65199.99999999999,344.8
200,"1,2-Dichloropropane",C3H6Cl2,572.0,4230000.0,-162800.0,-1707000.0,-80180.0,354.8
201,Vinyl chloride,C2H3Cl,432.0,5750000.0,28450.000000000004,-1178000.0,41950.0,273.53999999999996
202,Fluorobenzene,C6H5F,560.09,4540000.0,-116565.99999999999,-2814500.0,-69036.0,302.63
203,Chlorobenzene,C6H5Cl,632.35,4530000.0,51090.0,-2976000.0,98290.0,314.03
204,Bromobenzene,C6H5Br,670.15,4520000.0,105018.0,-3019200.0,138532.0,324.39
205,Air,Air,132.45,3790000.0,0.0,0.0,0.0,199.0
206,Hydrogen,H2,33.19,1320000.0,0.0,-241800.0,0.0,130.57000000000002
207,Helium-4,He,5.2,230000.0,0.0,0.0,0.0,126.03999999999999
208,Neon,Ne,44.4,2670000.0,0.0,0.0,0.0,146.22
209,Argon,Ar,150.86,4900000.0,0.0,0.0,0.0,154.74
210,Fluorine,F2,144.12,5170000.0,0.0,0.0,0.0,202.68
211,Chlorine,Cl2,417.15,7790000.0,0.0,0.0,0.0,222.96999999999997
212,Bromine,Br2,584.15,10280000.0,30910.000000000004,0.0,3140.0,245.35
213,Oxygen,O2,154.58,5020000.0,0.0,0.0,0.0,205.03999999999996
214,Nitrogen,N2,126.2,3390000.0,0.0,0.0,0.0,191.5
215,Ammonia,NH3,405.65,11300000.0,-45898.0,-316800.0,-16400.0,192.66
216,Hydrazine,N2H4,653.15,14730000.0,95353.0,-5342000.0,159170.0,238.60999999999999
217,Nitrous oxide,N2O,309.57,7280000.0,82050.0,-82000.0,104160.0,219.85000000000002
218,Nitric oxide,NO,180.15,6520000.0,90250.0,-90200.0,86570.0,210.6
219,Cyanogen,C2N2,400.15,5940000.0,309072.0,-1096100.0,297553.0,241.46
220,Carbon monoxide,CO,132.92,3490000.0,-110530.00000000001,-283000.0,-137150.0,197.56
221,Carbon dioxide,CO2,304.21,7390000.0,-393510.0,0.0,-394370.0,213.68
222,Carbon disulfide,CS2,552.0,8039999.999999999,116900.0,-1076900.0,66800.0,237.9
223,Hydrogen fluoride,HF,461.15,6490000.0,-273300.0,152400.0,-275400.0,173.67
224,Hydrogen chloride,HCl,324.65,8359999.999999999,-92310.0,-28600.0,-95300.0,186.79
225,Hydrogen bromide,HBr,363.15,8460000.0,-36290.0,-69000.0,-53339.99999999999,198.59
226,Hydrogen cyanide,HCN,456.65,5350000.0,135143.0,-623300.0,124725.0,201.72
227,Hydrogen sulfide,H2S,373.53,9000000.0,-20630.0,-518000.0,-33440.0,205.6
228,Sulfur dioxide,SO2,430.75,7860000.0,-296840.0,0.0,-300120.0,248.1
229,Sulfur trioxide,SO3,490.85,8189999.999999999,-395720.0,98900.0,-370950.0,256.51
230,Water,H2O,647.13,21940000.0,-241814.0,0.0,-228590.00000000003,188.72
